id;firma;branza;sektor;obecna
1;PGB Human Resources;Agencja Rekrutacyjna;;0
2;EY DGN Poland;Audyt, doradztwo podatkowo-finansowe, IT;;0
3;PROCOM SYSTEM S.A.;Automatyka;;0
4;K„mmerer Polska ;Automotive;;0
5;LEONI Kabel Polska Sp. z o.o. ;Automotive;;0
6;Robert Bosch Sp. z o.o.;Automotive;;0
7;RW Swiss Automation sp. z o.o.;Automotive;;0
8;Euro Bank S.A.;Bankowosc Finanse;;0
9;Credit Suisse;Bankowo˜†;;0
10;Bank Zachodni WBK;Bankowo˜† i finanse;;0
11;BNY Mellon Sp. z o.o.;Bankowo˜† Inwestycyjna;;0
12;Centrum Zdrowia WroMedica;biotechnologiczna, farmaceutyczna;;0
13;ManpowerGroup Sp. z o.o.;Bran¾a HR - doradztwo personalne, rekrutacja staˆa oraz tymczasowa;;0
14;UNIBEP S.A.;budownictwo;;0
15;Hewlett Packard Enterprise;Business service;;0
16;DK Marketing;call center;;0
17;TORRECID SA;CERAMICZNA;;0
18;PCC Rokita SA ;Chemia, In¾ynieria, Produkcja;;0
19;PwC;consulting;;0
20;Astrum MH;elektroenergetyka;;0
21;Schneider Electric Energy Poland Sp. z o.o. Zakˆad Automatyki i System¢w Elektroenergetycznych w —wiebodzicach;energetyka;;0
22;Schnieider Electric Energy Poland sp. z o.o.;energetyka;;0
23;Sodexo Polska;Facility Management / techniczna obsˆuga nieruchomo˜ci;;0
24;Strabag Infrastruktura Poˆudnie Sp.zo.o.;infrastruktura drogowa;;0
25;Wrocˆawski Park Technologiczny S.A.;Instytucja Otoczenia Biznesu;;0
26;QMAF Sp. z o.o.;In¾ynieria jako˜ci, Zarz¥dzanie produkcj¥;;0
27;Atos IT Services Sp. z o.o.;IT;;0
28;Axxiome Polska Sp. z o. o.;IT;;0
29;Capgemini Software Solutions Center ;IT;;0
30;Clearcode;IT;;0
31;CrazyCall;IT;;0
32;DataArt;IT;;0
33;Micro Solutions Sp. z o.o. Sp. k.;IT;;0
34;NetTeam Solutions S.A.;IT;;0
35;Nokia;IT;;0
36;REC a GlobalLogic Company;IT;;0
37;Ryanair / Travel Labs Poland Sp. z o.o. ;IT;;0
38;SoftServe Poland;IT;;0
39;vm.pl;IT;;0
40;WHITE HATS;IT;;0
41;IBM Client Innovation Center;IT ;;0
42;RST IT;IT - Rozw¢j oprogramowania;;0
43;Grupa Unity;IT e-commerce;;0
44;Centrum Usˆug Informatycznych we Wrocˆawiu;IT, Informatyczna;;0
45;vm.pl software house ;IT, oprogramowanie ;;0
46;Divante Sp. z o.o.;IT/e-commerce;;0
47;BPX S.A.;IT/Konsulting/ERP/BI;;0
48;Amazon;Logistyka;;0
49;Ku«nia Ostr¢w Wielkopolski Sp. z o.o.;metalowa;;0
50;Faurecia;motoryzacja, produkcja;;0
51;NG Engineering Sp. z o.o. ;motoryzacja, transport publiczny, przemysˆ ci©¾ki, oprzyrz¥dowanie produkcyjne, AGD ;;0
52;Tornos Technologies Poland Sp. z o.o.;Obr¢bka metalu;;0
53;Pneumat System Sp. z o.o.;pneumatyczna;;0
54;PMPoland S.A.;Producent maszyn papierniczych;;0
55;3M Wrocˆaw Sp. z o.o.;produkcja;;0
56;Danfoss Power Solutions sp. z o.o.;Produkcja;;0
57;Stelweld Sp. z o.o.;Produkcja;;0
58;Fortaco Sp. z o.o.;Produkcja ;;0
59;Elica Group Polska Sp. z o.o.;Produkcja AGD;;0
60;LG Chem Polans sp.z o.o.;Produkcja tworzyw sztucznych;;0
61;Simoldes Plasticos Polska Sp. z o.o.;produkcja, automotiv;;0
62;Cargill Poland Sp. z o.o.;produkcja/rolnictwo;;0
63;LEDIKO Sp. z o.o.;Projektowanie i produkcja o˜wietlania typu LED;;0
64;Perfecta Sp. z o.o. Sp.k.;reklama;;0
65;McKinsey Knowledge Center Poland Sp. z o.o.,;Research and Analytics ;;0
66;IKEA;Retail;;0
67;Nestle Polska S.A. oddziaˆ Purina;spozywcza;;0
68;ALUMECO SERVICE Sp. z o.o.;SSC, in¾ynieria, produkcja;;0
69;FIBRAIN Sp. z o.o.;Telekomunikacyjna;;0
70;Wrocˆawski Park Technologiczny SA;zaˆo¾enie wˆasnej dziaˆalno˜ci gospodarczej;;0
71;Dolno˜l¥ski Wojew¢dzki Urz¥d Pracy Centrum Informacji i Planowania Kariery Zawodowej;;;0
72;enxoo sp. z o.o.;;;0
73;Kruk S.A.;;;0
74;Trenkwalder;;;0
